Country,Elo_Rating,Poisson_Attack,Poisson_Defense,Poisson_Dominance,Short_Term_Form_GF,Short_Term_Form_WR,Long_Term_Form_GF,Long_Term_Form_WR,Nudge_Power_Rating,Nudge_Raw_Delta
Turkey,1813.181117787038,1.351213786870992,0.8983242003749214,1.5041493775933612,2.5305039386691437,0.8974609080570486,2.3271185043948246,0.7844870448962296,78,1.17
South Korea,1804.700205885672,1.3872131832732764,0.544759629635783,2.546468401486989,2.314026977904447,0.5832445376350386,1.8332004481021915,0.5679626546656396,77,1.155
Austria,1793.8802366256439,1.2958591476738441,0.7649565012700226,1.6940298507462686,2.3173511788941465,0.7991840140446744,2.4933809211699742,0.7113391064728711,79,1.185
Croatia,1788.220603503123,1.2643651565984106,0.8265655871391273,1.5296610169491522,1.1278716709292353,0.3387724810401716,1.8036259368629275,0.5434115314717607,83,1.2449999999999999
United States,1784.4287635399928,1.4316589396646175,0.6183299960600386,2.315363881401617,2.142891528838092,0.5847218249946508,2.005927632858259,0.5545404856499396,80,1.2000000000000002
Egypt,1784.226100927348,1.1481995445221715,0.47003334828626664,2.44280442804428,1.1436147167291173,0.6049037068354179,1.2545379404362498,0.5268978326972289,76,1.1400000000000001
Uruguay,1782.5855283912604,0.9702469888667141,0.6281865205079391,1.5445205479452053,0.9472890800129857,0.1689901718873296,0.983510250550863,0.30738106422629385,84,1.26
Uzbekistan,1767.8150154702407,1.2946358696867384,0.569639782662165,2.2727272727272725,0.7361822402373838,0.19532159450325404,1.1250878400496658,0.33570994699361145,68,1.02
DR Congo,1729.05898622237,0.8398048515387287,0.5868003519612384,1.431159420289855,0.7665676060443023,0.46973472098169156,1.1084839666795847,0.5695315946294738,69,1.035
Paraguay,1727.5691439136847,0.6444409662440654,0.8434594999370857,0.7640449438202247,1.11323646036483,0.4091029525207673,1.097171836860847,0.4110505518068901,76,1.1400000000000001
Panama,1722.022412364342,1.1931549952377511,0.898930125839886,1.3273056057866186,2.593049096456099,0.5791263480804743,2.0139621851892215,0.4889899942462527,67,1.0050000000000001
Scotland,1706.561852800222,1.0962407321229477,0.9193650111598479,1.192389006342495,2.2109476288785057,0.5531048001655462,1.9197220922276386,0.5212019892187731,73,1.095
Czech Republic,1698.3529358453618,1.1510045694271533,0.8832836424126883,1.303097345132743,2.212184830197998,0.550414435764131,2.0737745915332604,0.4961328644477255,73,1.095
Jordan,1695.1070829308333,1.1653783255620465,0.6942270223232654,1.678670360110803,1.5446129152754522,0.12018498051612808,1.6912652332156708,0.3135710304096907,65,0.9750000000000001
Iraq,1683.734710926691,0.9683054314228432,0.6444409662440654,1.5025510204081631,1.0633198590775907,0.4502717112916734,1.0903223401781519,0.5251391683393822,69,1.035
Tunisia,1683.1221910753654,1.0611306364632396,0.46795201980677015,2.2676056338028174,0.4592488541239362,0.17653480381136816,1.079788281095098,0.29946764780233404,71,1.065
South Africa,1669.4163433491046,1.0075313268209147,0.5828399915295591,1.728658536585366,0.7268576425048205,0.09127868592929955,1.198592367201259,0.28860636104651965,70,1.0499999999999998
Saudi Arabia,1663.8059101301362,0.923012639427761,0.6722981335624351,1.3729216152019,1.6996534735291682,0.4526917648573376,1.3069990371588305,0.39703491998057555,70,1.0499999999999998
Haiti,1649.2605211806417,1.7462530335309496,0.8382014560948556,2.083333333333334,2.167273385038505,0.5582008440463581,1.821075842087405,0.4832051794252731,62,0.9299999999999999
Sweden,1644.9104863028551,1.1919093278528994,0.9200357952186845,1.2955032119914345,1.7368182153126694,0.39304769853354826,1.7205260828670053,0.39766298067915296,78,1.17
New Zealand,1626.9205036693759,1.6333735372377156,0.6269083811330135,2.6054421768707487,1.0790842021187605,0.24593048404068663,1.3260096377409798,0.2632858438067813,64,0.96
Cape Verde,1613.3579319101877,0.8505673047118362,0.661025844051817,1.2867383512544803,2.0036412728695505,0.4528972556148849,1.7264666114909957,0.39961943493854674,64,0.96
Curaçao,1573.1684860134785,1.4167862463991667,0.7665034965870491,1.8483754512635382,1.119340700412179,0.08350116133180044,1.5247253474135876,0.2430407346892411,61,0.915
Ghana,1563.3772364960548,0.9503025632999025,0.733919115787953,1.29483282674772,0.5546406827288954,0.06735638750045417,1.0462752862111206,0.24151528103714412,73,1.095
Qatar,1528.179076980704,1.2317137822568025,0.8450492025103633,1.4575645756457563,0.2965190136051611,0.033138701920701286,0.6990060471612342,0.11544089615496951,68,1.02
Bosnia and Herzegovina,1507.3625189299512,0.8712672273891803,1.1023332317332697,0.7903846153846152,0.8501289107547387,0.0944046481303747,1.408779822325828,0.2485346482847786,72,1.08
